# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: Performance test of CaO doped BA catalyst, 1wt% Ru.  Sample was annealed twice
# Catalyst mass: 0.940000 
filename: BAdC_doubann_2017-06-16-01.txt 
current working directory: /home/research/python/diff-react-2017-06-16 
Catalyst_Description: Performance test of CaO doped BA catalyst, 1wt% Ru.  Sample was annealed twice
Notes: double annealed BA doped with CaO, 1wt% Ru

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.6, | , 23.2, 8.5, 14.7, | ,     0,  -305,     0,  -166, | , -3.4, -2422.5, 2.993, |, 9.9
1.0, -0.6, | , 23.2, 7.4, 14.4, | ,     0,  -304,     0,  -160, | , -3.4, -2422.5, 2.947, |, 9.4
2.0, -0.6, | , 23.2, 8.0, 14.5, | ,     0,  -306,     0,  -152, | , -3.4, -2422.9, 2.911, |, 9.5
3.0, -0.6, | , 23.2, 7.8, 13.9, | ,     0,  -299,     0,  -160, | , -3.4, -2422.9, 2.911, |, 9.4
4.0, -0.6, | , 23.2, 7.9, 14.4, | ,     0,  -301,     0,  -165, | , -3.4, -2422.5, 2.964, |, 8.0
5.0, -0.6, | , 23.2, 7.1, 13.5, | ,     0,  -307,     0,  -146, | , -3.4, -2422.9, 2.882, |, 8.8
6.1, -0.7, | , 23.2, 7.6, 15.0, | ,     0,  -308,     0,  -166, | , -3.4, -2422.5, 3.009, |, 9.9
7.1, -0.6, | , 23.2, 8.6, 14.7, | ,     0,  -307,     0,  -172, | , -3.4, -2422.9, 3.038, |, 10.2
8.1, -0.6, | , 23.2, 8.7, 14.9, | ,     0,  -306,     0,  -140, | , -3.4, -2422.0, 2.833, |, 10.1
9.1, -0.6, | , 23.2, 8.0, 14.4, | ,     0,  -310,     0,  -165, | , -3.4, -2422.5, 3.016, |, 9.6
10.1, -0.6, | , 23.2, 6.8, 14.3, | ,     0,  -312,     0,  -151, | , -3.4, -2422.5, 2.938, |, 9.2
11.1, -0.6, | , 23.2, 8.7, 14.9, | ,     0,  -307,     0,  -156, | , -3.4, -2422.9, 2.940, |, 10.1
12.1, -0.6, | , 23.2, 8.1, 13.8, | ,     0,  -310,     0,  -152, | , -3.4, -2422.5, 2.935, |, 9.6
13.1, -0.6, | , 23.2, 8.0, 14.3, | ,     0,  -305,     0,  -164, | , -3.4, -2422.5, 2.974, |, 9.7
14.1, -0.6, | , 23.2, 8.6, 14.6, | ,     0,  -308,     0,  -165, | , -3.4, -2422.5, 2.999, |, 10.1
15.1, -0.6, | , 23.2, 6.9, 13.5, | ,  4000,  -307,  1000,  -172, | , -3.4, -2422.9, 3.038, |, 8.9
16.1, -0.4, | , 23.2, 6.9, 13.3, | ,  4000,  4264,  1000,  1938, | , -3.4, -2422.9, -39.304, |, 8.8
17.2, -0.3, | , 23.2, 8.0, 14.3, | ,  4000,  3811,  1000,  -200, | , -3.4, -2422.9, -22.878, |, 9.6
18.2, -0.3, | , 23.2, 8.5, 14.7, | ,  4000,  3836,  1000,   206, | , -3.4, -2422.5, -25.617, |, 10.0
19.2, -0.3, | , 23.2, 7.8, 14.2, | ,  4000,  3856,  1000,   112, | , -3.4, -2422.5, -25.146, |, 9.5
20.2, -0.3, | , 23.2, 8.0, 14.2, | ,  4000,  3860,  1000,   475, | , -3.4, -2422.5, -27.470, |, 9.5
21.2, -0.3, | , 23.2, 8.1, 14.6, | ,  4000,  3869,  1000,   638, | , -3.4, -2422.9, -28.567, |, 9.4
22.2, -0.2, | , 23.2, 7.7, 13.9, | ,  4000,  3866,  1000,   776, | , -3.4, -2422.5, -29.416, |, 9.2
23.2, -0.3, | , 23.2, 8.1, 14.5, | ,  4000,  3874,  1000,   862, | , -3.4, -2422.5, -30.016, |, 9.5
24.2, -0.3, | , 23.2, 7.8, 14.4, | ,  4000,  3872,  1000,   892, | , -3.4, -2422.5, -30.189, |, 9.6
25.2, 0.3, | , 23.2, 8.7, 14.7, | ,  4000,  3877,  1000,   929, | , -3.4, -2422.5, -30.453, |, 10.0
26.3, 0.8, | , 23.2, 7.9, 14.5, | ,  4000,  3880,  1000,   943, | , -3.4, -2422.5, -30.561, |, 9.5
27.3, 1.3, | , 23.2, 6.9, 13.6, | ,  4000,  3879,  1000,   967, | , -3.4, -2422.9, -30.714, |, 8.3
28.3, 1.7, | , 23.2, 8.0, 14.4, | ,  4000,  3886,  1000,  1001, | , -3.4, -2422.5, -30.966, |, 9.4
29.3, 2.3, | , 23.2, 2.2, 9.4, | ,  4000,  3884,  1000,   997, | , -3.4, -2423.3, -30.940, |, 4.5
30.3, 2.7, | , 23.2, 0.7, 8.3, | ,  4000,  3882,  1000,   993, | , -3.4, -2423.7, -30.909, |, 3.1
31.3, 3.1, | , 23.2, 1.8, 8.4, | ,  4000,  3880,  1000,   988, | , -3.4, -2423.3, -30.857, |, 4.1
32.3, 3.6, | , 23.2, 0.4, 8.2, | ,  4000,  3887,  1000,  1002, | , -3.4, -2423.7, -30.996, |, 2.8
33.3, 4.0, | , 23.2, -0.7, 8.3, | ,  4000,  3887,  1000,  1018, | , -3.4, -2422.9, -31.085, |, 2.6
34.3, 4.4, | , 23.2, 1.5, 9.7, | ,  4000,  3889,  1000,   998, | , -3.4, -2423.7, -30.985, |, 4.2
35.4, 4.9, | , 23.2, 1.5, 9.3, | ,  4000,  3883,  1000,   996, | , -3.4, -2423.3, -30.929, |, 4.0
36.4, 5.3, | , 23.2, 0.4, 8.3, | ,  4000,  3887,  1000,  1016, | , -3.4, -2424.2, -31.092, |, 3.2
37.4, 5.7, | , 23.2, -1.5, 7.2, | ,  4000,  3822,  1000,  1002, | , -3.4, -2423.7, -30.588, |, 1.1
38.4, 6.2, | , 23.2, -1.3, 6.6, | ,  4000,  3801,  1000,   996, | , -3.4, -2423.7, -30.416, |, 1.5
39.4, 6.6, | , 23.3, 1.7, 10.6, | ,  4000,  3845,  1000,  1012, | , -3.4, -2422.9, -30.784, |, 5.4
40.4, 7.0, | , 23.2, 3.5, 11.6, | ,  4000,  3859,  1000,   802, | , -3.4, -2422.9, -29.536, |, 6.0
41.4, 7.4, | , 23.3, 3.4, 10.2, | ,  4000,  3870,  1000,   832, | , -3.4, -2422.9, -29.797, |, 5.4
42.4, 7.8, | , 23.3, 2.4, 9.5, | ,  4000,  3874,  1000,   963, | , -3.4, -2423.3, -30.659, |, 4.9
43.4, 8.3, | , 23.3, 3.5, 11.6, | ,  4000,  3880,  1000,   917, | , -3.4, -2423.3, -30.410, |, 5.5
44.5, 8.7, | , 23.3, 3.6, 10.0, | ,  4000,  3883,  1000,   858, | , -3.4, -2422.0, -30.044, |, 5.3
45.5, 9.0, | , 23.3, 3.7, 14.7, | ,  4000,  3879,  1000,   962, | , -3.4, -2422.9, -30.682, |, 9.7
46.5, 9.4, | , 23.3, 8.8, 15.3, | ,  4000,  3883,  1000,  1001, | , -3.4, -2422.5, -30.946, |, 10.5
47.5, 9.8, | , 23.3, 9.4, 16.2, | ,  4000,  3889,  1000,  1010, | , -3.4, -2422.5, -31.042, |, 10.9
48.5, 10.2, | , 23.3, 8.9, 15.3, | ,  4000,  3881,  1000,   995, | , -3.4, -2422.5, -30.897, |, 10.3
49.5, 10.7, | , 23.3, 8.1, 15.0, | ,  4000,  3890,  1000,   989, | , -3.4, -2422.9, -30.922, |, 9.5
50.5, 11.1, | , 23.3, 8.8, 15.7, | ,  4000,  3885,  1000,   997, | , -3.4, -2422.5, -30.942, |, 10.8
51.5, 11.5, | , 23.3, 9.1, 15.9, | ,  4000,  3882,  1000,  1022, | , -3.4, -2422.0, -31.069, |, 10.4
52.5, 11.9, | , 23.3, 8.6, 15.5, | ,  4000,  3884,  1000,  1004, | , -3.4, -2422.5, -30.972, |, 10.3
53.6, 12.3, | , 23.3, 8.5, 14.9, | ,  4000,  3877,  1000,  1020, | , -3.4, -2422.5, -31.035, |, 10.2
